"EventTimeInt";"EventTimeStr";"EventStr";"ThreadStr";"ThreadId";"Event"
1387190837;"16/12/2013 10:47:17";"System Booting, FWR: 7.0s0b2 (7.0), SN: 1305-0009-21 [???]";"";79300;-22602
1387190837;"16/12/2013 10:47:17";"nvcfg--Hardware configuration has changed";"";79300;-21809
1387190837;"16/12/2013 10:47:17";"eroot--SSH Server started";"";79300;-29303
1387190837;"16/12/2013 10:47:17";"Reboot reason: Unknown (power loss,...)";"";79308;1073762140
1387190837;"16/12/2013 10:47:17";"main-Watchdog is disabled";"";79308;-20326
1388236767;"28/12/2013 13:19:27";"System Booting, FWR: 7.0s0b2 (7.0), SN: 1305-0009-21 [???]";"";79300;-22602
1388236767;"28/12/2013 13:19:27";"eroot--SSH Server started";"";79300;-29303
1388236767;"28/12/2013 13:19:27";"Reboot reason: Unknown (power loss,...)";"";79308;1073762140
1388236767;"28/12/2013 13:19:27";"main-Watchdog is disabled";"";79308;-20326
1388236905;"28/12/2013 13:21:45";"System Booting, FWR: 7.0s0b2 (7.0), SN: 1305-0009-21 [???]";"";79300;-22602
1388236905;"28/12/2013 13:21:45";"eroot--SSH Server started";"";79300;-29303
1388236905;"28/12/2013 13:21:45";"Reboot reason: Unknown (power loss,...)";"";79308;1073762140
1388236905;"28/12/2013 13:21:45";"main-Watchdog is disabled";"";79308;-20326
1388237028;"28/12/2013 13:23:48";"System Booting, FWR: 7.0s0b2 (7.0), SN: 1305-0009-21 [???]";"";79300;-22602
1388237028;"28/12/2013 13:23:48";"eroot--SSH Server started";"";79300;-29303
1388237028;"28/12/2013 13:23:48";"Reboot reason: Unknown (power loss,...)";"";79308;1073762140
1388237028;"28/12/2013 13:23:48";"main-Watchdog is disabled";"";79308;-20326
1388237875;"28/12/2013 13:37:55";"System Booting, FWR: 7.0s2 (7.0), SN: 1305-0009-21 [EF0000]";"";79300;-22602
1388237875;"28/12/2013 13:37:55";"eroot--SSH Server started";"";79300;-29303
1388237875;"28/12/2013 13:37:55";"Reboot reason: Unknown (power loss,...)";"";79308;1073762140
1388237875;"28/12/2013 13:37:55";"main-Watchdog is disabled";"";79308;-20326
1388237976;"28/12/2013 13:39:36";"System Booting, FWR: 7.0s2 (7.0), SN: 1305-0009-21 [EF0000]";"";79300;-22602
1388237976;"28/12/2013 13:39:36";"eroot--SSH Server started";"";79300;-29303
1388237976;"28/12/2013 13:39:36";"Reboot reason: Unknown (power loss,...)";"";79308;1073762140
1388237976;"28/12/2013 13:39:36";"main-Watchdog is disabled";"";79308;-20326
1388238068;"28/12/2013 13:41:08";"";"";79300;-22602
1388238068;"28/12/2013 13:41:08";"um?--";"";79300;-29303
1388238068;"28/12/2013 13:41:08";"";"";79308;1073762140
1388238068;"28/12/2013 13:41:08";"um?-";"";79308;-20326
1388238172;"28/12/2013 13:42:52";"um?- ()";"";79310;1073763129
1388238176;"28/12/2013 13:42:56";"um?- ()";"";79310;1073763129
